run,ts,cycle,unit,side,entryPrice,exitPrice,qty,bps,pnl,exitReason,hold_sec,entry_heure,exit_heure
Run_V2,2026-08-14T17:54:32Z,592,BETA_X5,SELL,63048.30000000,63047.60000000,0.00470000,0.11102599,0.00329000,shock_inversion_stop,5,17:54:26,17:54:32
Run_V2,2026-08-14T17:55:14Z,596,BETA_X5,SELL,63048.50000000,63047.00000000,0.00470000,0.23791208,0.00705000,shock_inversion_stop,5,17:55:09,17:55:14
Run_V2,2026-08-14T17:56:36Z,605,BETA_X5,SELL,63047.00000000,63047.00000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,5,17:56:30,17:56:36
Run_V2,2026-08-14T17:59:11Z,623,BETA_X5,SELL,63047.00000000,63047.00000000,0.01530000,-0.00000000,-0.00000000,shock_inversion_stop,5,17:59:05,17:59:10
Run_V2,2026-08-14T18:02:27Z,646,BETA_X5,SELL,63047.10000000,63047.10000000,0.00940000,-0.00000000,-0.00000000,shock_inversion_stop,5,18:02:21,18:02:26
Run_V2,2026-08-14T18:05:32Z,668,BETA_X5,SELL,63004.50000000,63007.10000000,0.00940000,-0.41266894,-0.02444000,shock_inversion_stop,6,18:05:26,18:05:32
Run_V2,2026-08-14T18:06:17Z,672,BETA_X5,SELL,63010.20000000,62999.90000000,0.00940000,1.63465598,0.09682000,shock_inversion_stop,7,18:06:08,18:06:16
Run_V2,2026-08-14T18:09:35Z,695,BETA_X5,SELL,63000.00000000,63000.00000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,18:09:29,18:09:35
Run_V2,2026-08-14T18:09:54Z,696,BETA_X5,SELL,63017.90000000,63000.00000000,0.00470000,2.84046279,0.08413000,shock_inversion_stop,5,18:09:48,18:09:53
Run_V2,2026-08-14T18:11:42Z,708,BETA_X5,SELL,63024.40000000,63024.40000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,18:11:36,18:11:42
Run_V2,2026-08-14T18:12:01Z,709,BETA_X5,SELL,63024.80000000,63023.60000000,0.00470000,0.19040124,0.00564000,shock_inversion_stop,5,18:11:55,18:12:00
Run_V2,2026-08-14T18:13:14Z,717,BETA_X5,SELL,63027.10000000,63027.10000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,5,18:13:08,18:13:13
Run_V2,2026-08-14T18:14:06Z,722,BETA_X5,SELL,63025.60000000,63004.90000000,0.00940000,3.28437968,0.19458000,shock_inversion_stop,8,18:13:58,18:14:06
Run_V2,2026-08-14T18:14:57Z,727,BETA_X5,SELL,63000.00000000,63000.00000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,18:14:51,18:14:57
Run_V2,2026-08-14T18:17:25Z,744,BETA_X5,SELL,62993.00000000,62993.00000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,5,18:17:19,18:17:25
Run_V2,2026-08-14T18:18:16Z,749,BETA_X5,SELL,62999.30000000,62993.00000000,0.00940000,1.00001111,0.05922000,shock_inversion_stop,6,18:18:10,18:18:16
Run_V2,2026-08-14T18:21:37Z,772,BETA_X5,SELL,63010.10000000,63010.00000000,0.00470000,0.01587047,0.00047000,shock_inversion_stop,5,18:21:31,18:21:37
Run_V2,2026-08-14T18:26:23Z,806,BETA_X5,SELL,63020.90000000,63002.70000000,0.00470000,2.88793083,0.08554000,shock_inversion_stop,8,18:26:14,18:26:22
Run_V2,2026-08-14T18:28:08Z,818,BETA_X5,SELL,63030.00000000,63030.00000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,18:28:02,18:28:08
Run_V2,2026-08-14T18:30:33Z,834,BETA_X5,SELL,63002.80000000,63002.80000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,5,18:30:27,18:30:33
Run_V2,2026-08-14T18:31:54Z,843,BETA_X5,SELL,63000.00000000,62999.90000000,0.00470000,0.01587302,0.00047000,shock_inversion_stop,5,18:31:48,18:31:53
Run_V2,2026-08-14T18:32:12Z,844,BETA_X5,SELL,63006.80000000,62995.30000000,0.01540000,1.82519982,0.17710000,shock_inversion_stop,6,18:32:06,18:32:12
Run_V2,2026-08-14T18:33:38Z,853,BETA_X5,SELL,62974.10000000,62964.40000000,0.00760000,1.54031578,0.07372000,fluid_exit_inversion,9,18:33:29,18:33:38
Run_V2,2026-08-14T18:34:45Z,860,BETA_X5,SELL,62963.70000000,62961.50000000,0.00470000,0.34940767,0.01034000,shock_inversion_stop,6,18:34:39,18:34:45
Run_V2,2026-08-14T18:35:07Z,861,BETA_X5,SELL,62961.50000000,62948.70000000,0.00470000,2.03298841,0.06016000,shock_inversion_stop,9,18:34:58,18:35:07
Run_V2,2026-08-14T18:35:43Z,864,BETA_X5,SELL,62948.70000000,62948.70000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,18:35:37,18:35:43
Run_V2,2026-08-14T18:36:11Z,866,BETA_X5,SELL,62948.70000000,62948.70000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,5,18:36:05,18:36:11
Run_V2,2026-08-14T18:36:47Z,869,BETA_X5,SELL,62948.70000000,62948.70000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,18:36:41,18:36:47
Run_V2,2026-08-14T18:37:31Z,873,BETA_X5,SELL,62948.70000000,62948.70000000,0.01540000,-0.00000000,-0.00000000,shock_inversion_stop,6,18:37:25,18:37:31
Run_V2,2026-08-14T18:38:24Z,878,BETA_X5,SELL,62963.70000000,62955.00000000,0.01540000,1.38174853,0.13398000,shock_inversion_stop,6,18:38:17,18:38:23
Run_V2,2026-08-14T18:46:41Z,937,BETA_X5,SELL,62944.90000000,62944.90000000,0.00760000,-0.00000000,-0.00000000,shock_inversion_stop,5,18:46:35,18:46:40
Run_V2,2026-08-14T18:49:27Z,956,BETA_X5,SELL,62876.20000000,62874.80000000,0.00760000,0.22265977,0.01064000,shock_inversion_stop,5,18:49:21,18:49:26
