open_time,open,high,low,close,volume,close_time
1784157360000,64886.10,64886.20,64865.50,64865.50,15.314,1784157419999
1784157420000,64865.60,64869.60,64865.50,64865.60,9.123,1784157479999
1784157480000,64865.50,64865.60,64849.90,64850.00,11.899,1784157539999
1784157540000,64850.00,64902.40,64849.90,64895.90,29.295,1784157599999
1784157600000,64895.90,64895.90,64877.70,64877.80,13.492,1784157659999
1784157660000,64877.80,64897.50,64877.80,64891.20,8.071,1784157719999
1784157720000,64891.20,64891.20,64877.60,64877.70,6.116,1784157779999
1784157780000,64877.70,64877.70,64844.50,64844.50,37.467,1784157839999
1784157840000,64844.50,64844.60,64819.00,64834.00,28.375,1784157899999
1784157900000,64833.90,64834.00,64814.20,64822.20,12.952,1784157959999
1784157960000,64822.10,64832.00,64810.70,64823.60,20.112,1784158019999
1784158020000,64823.60,64831.90,64823.60,64831.90,8.648,1784158079999
1784158080000,64831.80,64831.90,64810.30,64810.30,11.081,1784158139999
1784158140000,64810.30,64819.30,64810.30,64819.20,9.357,1784158199999
1784158200000,64819.20,64828.50,64815.60,64815.60,10.183,1784158259999
1784158260000,64815.70,64819.20,64810.50,64810.50,29.457,1784158319999
1784158320000,64810.50,64819.00,64810.50,64816.10,7.358,1784158379999
1784158380000,64816.10,64835.60,64816.10,64833.90,9.342,1784158439999
1784158440000,64834.00,64835.00,64823.10,64823.20,13.150,1784158499999
1784158500000,64823.20,64832.40,64823.10,64828.30,21.722,1784158559999
1784158560000,64828.40,64828.40,64807.40,64807.40,34.109,1784158619999
1784158620000,64807.50,64813.60,64800.00,64800.00,27.203,1784158679999
1784158680000,64800.00,64805.70,64800.00,64805.60,9.576,1784158739999
1784158740000,64805.70,64805.70,64774.80,64774.80,29.620,1784158799999
1784158800000,64774.90,64774.90,64761.40,64763.10,49.474,1784158859999
1784158860000,64763.20,64763.20,64722.70,64724.10,91.898,1784158919999
1784158920000,64724.10,64724.10,64676.90,64716.20,619.120,1784158979999
1784158980000,64716.20,64716.20,64684.70,64694.60,94.641,1784159039999
1784159040000,64694.60,64710.00,64693.00,64708.70,65.188,1784159099999
1784159100000,64708.70,64716.00,64695.30,64711.40,48.665,1784159159999
1784159160000,64711.50,64720.00,64691.90,64691.90,38.586,1784159219999
1784159220000,64692.00,64698.90,64660.00,64694.90,252.280,1784159279999
1784159280000,64694.90,64716.80,64694.90,64710.50,41.353,1784159339999
1784159340000,64710.40,64728.70,64707.10,64720.00,28.342,1784159399999
1784159400000,64720.00,64724.60,64714.10,64719.40,28.109,1784159459999
1784159460000,64719.40,64740.00,64719.40,64737.20,29.070,1784159519999
1784159520000,64737.20,64794.40,64737.10,64786.10,66.596,1784159579999
1784159580000,64786.10,64786.20,64756.00,64767.30,37.959,1784159639999
1784159640000,64767.20,64767.20,64748.80,64761.30,56.387,1784159699999
1784159700000,64761.40,64764.70,64751.40,64764.60,19.847,1784159759999
1784159760000,64764.70,64764.70,64755.00,64755.10,9.262,1784159819999
1784159820000,64755.00,64755.10,64729.10,64729.50,27.155,1784159879999
1784159880000,64729.50,64737.80,64723.10,64723.10,29.796,1784159939999
1784159940000,64723.20,64726.40,64715.20,64721.40,36.491,1784159999999
1784160000000,64721.40,64740.10,64707.60,64740.00,41.440,1784160059999
1784160060000,64740.10,64762.90,64740.00,64762.90,49.675,1784160119999
1784160120000,64762.90,64797.90,64762.80,64797.60,52.081,1784160179999
1784160180000,64797.60,64807.40,64777.60,64777.60,57.401,1784160239999
1784160240000,64777.60,64785.30,64769.00,64785.30,38.447,1784160299999
1784160300000,64785.30,64795.00,64769.00,64769.00,33.111,1784160359999
1784160360000,64769.10,64769.10,64757.90,64758.00,15.710,1784160419999
1784160420000,64758.00,64758.00,64739.20,64751.20,44.292,1784160479999
1784160480000,64751.30,64751.50,64733.30,64734.00,27.122,1784160539999
1784160540000,64733.90,64806.50,64733.90,64806.50,58.835,1784160599999
1784160600000,64806.50,64814.50,64777.80,64798.40,40.141,1784160659999
1784160660000,64798.50,64814.70,64798.50,64803.10,26.331,1784160719999
1784160720000,64803.00,64803.10,64786.10,64786.20,37.763,1784160779999
1784160780000,64786.10,64804.50,64786.10,64804.50,23.812,1784160839999
1784160840000,64804.50,64808.00,64773.30,64794.00,45.395,1784160899999
1784160900000,64793.90,64811.40,64773.80,64773.80,24.241,1784160959999
1784160960000,64773.90,64773.90,64740.30,64740.30,53.682,1784161019999
1784161020000,64740.20,64747.70,64736.20,64736.20,21.306,1784161079999
1784161080000,64736.20,64736.30,64691.60,64694.20,37.598,1784161139999
1784161140000,64694.30,64723.10,64692.10,64692.10,46.728,1784161199999
1784161200000,64692.10,64692.20,64645.90,64685.90,207.874,1784161259999
1784161260000,64685.80,64693.20,64650.00,64686.60,118.858,1784161319999
1784161320000,64686.50,64686.50,64662.30,64671.30,78.781,1784161379999
1784161380000,64671.30,64671.30,64653.50,64653.50,67.588,1784161439999
1784161440000,64653.40,64653.40,64610.00,64617.90,210.457,1784161499999
1784161500000,64618.00,64638.00,64599.00,64637.90,455.988,1784161559999
1784161560000,64637.90,64637.90,64534.20,64542.80,375.801,1784161619999
1784161620000,64542.90,64556.60,64537.20,64556.30,127.082,1784161679999
1784161680000,64556.30,64559.00,64554.90,64558.70,46.293,1784161739999
1784161740000,64558.70,64560.10,64535.20,64535.20,113.326,1784161799999
1784161800000,64535.30,64571.80,64535.20,64567.00,107.118,1784161859999
1784161860000,64567.00,64574.40,64565.40,64565.40,57.030,1784161919999
1784161920000,64565.40,64565.50,64525.60,64532.00,76.351,1784161979999
1784161980000,64531.90,64548.40,64521.40,64528.20,149.162,1784162039999
1784162040000,64528.20,64569.60,64521.30,64569.60,95.023,1784162099999
1784162100000,64569.60,64569.60,64540.40,64559.90,60.053,1784162159999
1784162160000,64560.00,64564.70,64533.10,64533.20,30.157,1784162219999
1784162220000,64533.20,64533.20,64489.00,64489.00,245.794,1784162279999
1784162280000,64489.10,64519.30,64483.30,64495.30,198.184,1784162339999
1784162340000,64495.30,64497.30,64471.70,64481.10,132.099,1784162399999
1784162400000,64481.20,64485.10,64464.00,64485.10,110.875,1784162459999
1784162460000,64485.10,64502.30,64485.10,64502.30,69.506,1784162519999
1784162520000,64502.30,64502.30,64470.10,64472.90,111.114,1784162579999
1784162580000,64473.00,64485.10,64470.10,64485.10,51.845,1784162639999
1784162640000,64485.00,64497.60,64477.50,64497.60,41.472,1784162699999
1784162700000,64497.60,64497.60,64480.00,64483.80,46.085,1784162759999
1784162760000,64483.80,64537.80,64483.70,64537.70,65.864,1784162819999
1784162820000,64537.80,64542.40,64514.50,64519.30,58.823,1784162879999
1784162880000,64519.40,64519.40,64518.90,64519.00,29.197,1784162939999
1784162940000,64519.00,64559.20,64518.90,64552.10,123.505,1784162999999
1784163000000,64552.10,64560.00,64538.80,64538.90,73.550,1784163059999
1784163060000,64538.90,64553.20,64538.80,64548.90,18.255,1784163119999
1784163120000,64548.80,64610.10,64548.80,64607.60,83.653,1784163179999
1784163180000,64607.70,64613.50,64601.70,64606.70,34.371,1784163239999
