ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
15:46:04,ACE_DUO_CLEAN_V3_15M,ALPHA,85,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:12,ACE_DUO_CLEAN_V3_15M,BETA,107,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1285,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:12,ACE_DUO_CLEAN_V3_15M,ALPHA,86,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1285,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:17,ACE_DUO_CLEAN_V3_15M,BETA,108,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:18,ACE_DUO_CLEAN_V3_15M,ALPHA,87,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:24,ACE_DUO_CLEAN_V3_15M,ALPHA,88,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:29,ACE_DUO_CLEAN_V3_15M,BETA,109,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:34,ACE_DUO_CLEAN_V3_15M,ALPHA,89,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:36,ACE_DUO_CLEAN_V3_15M,BETA,110,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:39,ACE_DUO_CLEAN_V3_15M,ALPHA,90,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:41,ACE_DUO_CLEAN_V3_15M,BETA,111,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:46,ACE_DUO_CLEAN_V3_15M,BETA,112,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:47,ACE_DUO_CLEAN_V3_15M,ALPHA,91,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:56,ACE_DUO_CLEAN_V3_15M,ALPHA,92,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:47:02,ACE_DUO_CLEAN_V3_15M,ALPHA,93,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:47:10,ACE_DUO_CLEAN_V3_15M,ALPHA,94,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.2007,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:47:16,ACE_DUO_CLEAN_V3_15M,ALPHA,95,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:47:23,ACE_DUO_CLEAN_V3_15M,ALPHA,96,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:47:32,ACE_DUO_CLEAN_V3_15M,ALPHA,97,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:33:07,ACE_DUO_CLEAN_V3_15M,BETA,1,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.00011659
15:33:10,ACE_DUO_CLEAN_V3_15M,ALPHA,1,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.00371356
15:33:15,ACE_DUO_CLEAN_V3_15M,BETA,2,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=5.36318936
15:33:15,ACE_DUO_CLEAN_V3_15M,ALPHA,2,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:33:20,ACE_DUO_CLEAN_V3_15M,BETA,3,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.00089004
15:33:23,ACE_DUO_CLEAN_V3_15M,ALPHA,3,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=1.47331703
15:34:26,ACE_DUO_CLEAN_V3_15M,BETA,5,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:34:31,ACE_DUO_CLEAN_V3_15M,BETA,6,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:34:39,ACE_DUO_CLEAN_V3_15M,BETA,7,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.2251,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.27013304
