ts,px_close,H_alpha,H_beta,h_src_alpha,h_src_beta,pos_alpha,pos_beta,pnlVirtAlpha,pnlVirtBeta
2026-09-05T19:30:00,79934.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:31:00,79934.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:32:00,79902.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:33:00,79873.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:34:00,79748.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:35:00,79810.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:36:00,79736.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:37:00,79717.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:38:00,79738.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:39:00,79723.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:40:00,79806.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:41:00,79805.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:42:00,79805.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:43:00,79824.30,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:44:00,79819.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:45:00,79790.30,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:46:00,79750.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:47:00,79754.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:48:00,79746.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:49:00,79710.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:50:00,79703.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:51:00,79731.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:52:00,79731.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:53:00,79727.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:54:00,79713.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:55:00,79729.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:56:00,79742.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:57:00,79745.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:58:00,79709.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:59:00,79719.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:00:00,79763.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:01:00,79740.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:02:00,79708.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:03:00,79694.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:04:00,79683.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:05:00,79750.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:06:00,79734.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:07:00,79734.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:08:00,79718.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:09:00,79713.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:10:00,79754.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:11:00,79777.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:12:00,79812.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:13:00,79718.30,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:14:00,79705.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:15:00,79697.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:16:00,79708.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:17:00,79690.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:18:00,79668.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:19:00,79663.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:20:00,79737.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:21:00,79737.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:22:00,79751.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:23:00,79733.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:24:00,79763.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:25:00,79793.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:26:00,79789.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:27:00,79730.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:28:00,79671.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:29:00,79687.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:30:00,79685.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:31:00,79706.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:32:00,79676.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:33:00,79680.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:34:00,79677.30,0,0,SHADOW,SHADOW,,,6.1927,9.9839
