ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
2026-09-01T16:06:22Z,ACE_DUO_CLEAN_V4_15M,BETA,27,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:06:30Z,ACE_DUO_CLEAN_V4_15M,BETA,28,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=2.18775722 raw_mom_bps=-4.66842032 spread_bps=13.99770000 tension=2.18775722 bid_drop=14.22042191 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:08:07Z,ACE_DUO_CLEAN_V4_15M,BETA,29,BTCUSDT,,,77974.9,,,FILLED,ALLOW,SELL,0.9447,csv_engine:stop_loss;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:08:13Z,ACE_DUO_CLEAN_V4_15M,BETA,30,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:08:26Z,ACE_DUO_CLEAN_V4_15M,BETA,31,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=0.70495414 raw_mom_bps=-40.04612535 spread_bps=16.12620000 tension=0.70495414 bid_drop=4.58220188 ask_drop=2.31364274 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:08:31Z,ACE_DUO_CLEAN_V4_15M,BETA,32,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:08:36Z,ACE_DUO_CLEAN_V4_15M,BETA,33,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:08:46Z,ACE_DUO_CLEAN_V4_15M,BETA,34,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:08:52Z,ACE_DUO_CLEAN_V4_15M,BETA,35,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00059026 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:08:59Z,ACE_DUO_CLEAN_V4_15M,BETA,36,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=1.21185648 raw_mom_bps=0.00000000 spread_bps=17.85700000 tension=1.21185648 bid_drop=3.70705922 ask_drop=7.87706711 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:09:04Z,ACE_DUO_CLEAN_V4_15M,BETA,37,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:09:12Z,ACE_DUO_CLEAN_V4_15M,BETA,38,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.3225 mom_sig=0.38704990 raw_mom_bps=2.23275295 spread_bps=15.98720000 tension=0.38704990 bid_drop=0.03241821 ask_drop=2.51582432 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:09:27Z,ACE_DUO_CLEAN_V4_15M,BETA,39,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=8.09491040 raw_mom_bps=0.00000000 spread_bps=39.75900000 tension=8.09491040 bid_drop=4.87276250 ask_drop=52.61691761 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:09:36Z,ACE_DUO_CLEAN_V4_15M,BETA,40,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=6.25408727 raw_mom_bps=0.00000000 spread_bps=47.17870000 tension=6.25408727 bid_drop=40.65156723 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:09:44Z,ACE_DUO_CLEAN_V4_15M,BETA,41,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:09:56Z,ACE_DUO_CLEAN_V4_15M,BETA,42,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.1777 mom_sig=0.21325326 raw_mom_bps=0.00000000 spread_bps=47.69010000 tension=0.21325326 bid_drop=1.38614617 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:10:01Z,ACE_DUO_CLEAN_V4_15M,BETA,43,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:10:06Z,ACE_DUO_CLEAN_V4_15M,BETA,44,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:10:11Z,ACE_DUO_CLEAN_V4_15M,BETA,45,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:10:17Z,ACE_DUO_CLEAN_V4_15M,BETA,46,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:10:22Z,ACE_DUO_CLEAN_V4_15M,BETA,47,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00083839 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:10:28Z,ACE_DUO_CLEAN_V4_15M,BETA,48,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00191884 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:10:34Z,ACE_DUO_CLEAN_V4_15M,BETA,49,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00200747 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:10:40Z,ACE_DUO_CLEAN_V4_15M,BETA,50,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00002492 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:10:46Z,ACE_DUO_CLEAN_V4_15M,BETA,51,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
