ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
2026-09-01T16:05:59Z,ACE_DUO_CLEAN_V4_15M,ALPHA,28,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=4.23076487 raw_mom_bps=0.00000000 spread_bps=9.86820000 tension=4.23076487 bid_drop=27.49997167 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:06:07Z,ACE_DUO_CLEAN_V4_15M,ALPHA,29,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=2.71417467 raw_mom_bps=0.00000000 spread_bps=18.62200000 tension=2.71417467 bid_drop=17.64213537 ask_drop=0.01205170 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:06:13Z,ACE_DUO_CLEAN_V4_15M,ALPHA,30,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:06:20Z,ACE_DUO_CLEAN_V4_15M,ALPHA,31,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=wall_not_collapsed tension=0.36161624 bid_drop=2.35050554 ask_drop=0.00000000;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:06:26Z,ACE_DUO_CLEAN_V4_15M,ALPHA,32,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:06:35Z,ACE_DUO_CLEAN_V4_15M,ALPHA,33,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=direction_unclear conf=0.1189 mom_sig=0.07548808 raw_mom_bps=0.00000000 spread_bps=0.88530000 tension=0.07548808 bid_drop=0.00000000 ask_drop=0.49067255 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:06:47Z,ACE_DUO_CLEAN_V4_15M,ALPHA,34,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=wall_not_collapsed tension=0.74844863 bid_drop=4.86491607 ask_drop=0.00000000;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:06:57Z,ACE_DUO_CLEAN_V4_15M,ALPHA,35,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:mom=long structure=short;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:07:08Z,ACE_DUO_CLEAN_V4_15M,ALPHA,36,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=1.64530185 raw_mom_bps=0.00000000 spread_bps=34.17170000 tension=1.64530185 bid_drop=10.69446200 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:07:16Z,ACE_DUO_CLEAN_V4_15M,ALPHA,37,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.3294 mom_sig=0.39523241 raw_mom_bps=0.00000000 spread_bps=12.90220000 tension=0.39523241 bid_drop=2.56901068 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:07:22Z,ACE_DUO_CLEAN_V4_15M,ALPHA,38,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00170889 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:07:27Z,ACE_DUO_CLEAN_V4_15M,ALPHA,39,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00561229 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:07:35Z,ACE_DUO_CLEAN_V4_15M,ALPHA,40,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=2.34651560 raw_mom_bps=0.00000000 spread_bps=13.99180000 tension=2.34651560 bid_drop=15.25235142 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
