trade_id,ts,symbol,side,qty,price,realized_pnl,commission,commission_asset,role
529710112,2026-08-21T14:56:03Z,BTCUSDT,BUY,0.00100000,77327.70,0.00000000,0.03093108,USDT,
529710113,2026-08-21T14:56:03Z,BTCUSDT,BUY,0.00120000,77329.30,0.00000000,0.03711806,USDT,
529710114,2026-08-21T14:56:03Z,BTCUSDT,BUY,0.00130000,77343.80,0.00000000,0.04021877,USDT,
529710115,2026-08-21T14:56:03Z,BTCUSDT,BUY,0.00070000,77363.60,0.00000000,0.02166180,USDT,
529710116,2026-08-21T14:56:03Z,BTCUSDT,BUY,0.00010000,77396.00,0.00000000,0.00309584,USDT,
529710123,2026-08-21T14:56:05Z,BTCUSDT,BUY,0.00120000,77327.80,0.00000000,0.03711734,USDT,
529710124,2026-08-21T14:56:05Z,BTCUSDT,BUY,0.00100000,77327.80,0.00000000,0.03093112,USDT,
529710125,2026-08-21T14:56:05Z,BTCUSDT,BUY,0.00130000,77345.80,0.00000000,0.04021981,USDT,
529710126,2026-08-21T14:56:05Z,BTCUSDT,BUY,0.00090000,77396.00,0.00000000,0.02786256,USDT,
529710171,2026-08-21T14:56:18Z,BTCUSDT,SELL,0.00120000,77308.40,0.00000000,0.03710803,USDT,
529710172,2026-08-21T14:56:18Z,BTCUSDT,SELL,0.00320000,77306.30,0.00000000,0.09895206,USDT,
529710178,2026-08-21T14:56:20Z,BTCUSDT,SELL,0.00200000,77306.30,0.00000000,0.06184504,USDT,
529710512,2026-08-21T14:58:02Z,BTCUSDT,BUY,0.00610000,77394.30,-0.53439812,0.18884209,USDT,
529710513,2026-08-21T14:58:02Z,BTCUSDT,BUY,0.00030000,77394.40,-0.02631187,0.00928732,USDT,
529710679,2026-08-21T14:59:06Z,BTCUSDT,SELL,0.00070000,77383.80,0.02800321,0.02166746,USDT,
529710680,2026-08-21T14:59:06Z,BTCUSDT,SELL,0.00800000,77383.30,0.31603678,0.24762656,USDT,
529711517,2026-08-21T15:01:15Z,BTCUSDT,SELL,0.00440000,77353.30,0.00000000,0.13614180,USDT,
529711615,2026-08-21T15:01:17Z,BTCUSDT,SELL,0.00200000,77346.00,0.00000000,0.06187680,USDT,
529712294,2026-08-21T15:03:33Z,BTCUSDT,BUY,0.00020000,77418.80,-0.01355625,0.00619350,USDT,
529712295,2026-08-21T15:03:33Z,BTCUSDT,BUY,0.00620000,77422.50,-0.44318375,0.19200780,USDT,
529713153,2026-08-21T15:05:50Z,BTCUSDT,SELL,0.00100000,77409.30,0.00000000,0.03096372,USDT,
529713154,2026-08-21T15:05:50Z,BTCUSDT,SELL,0.00620000,77405.00,0.00000000,0.19196440,USDT,
529713190,2026-08-21T15:05:53Z,BTCUSDT,SELL,0.00320000,77431.60,0.00000000,0.09911244,USDT,
529713435,2026-08-21T15:06:21Z,BTCUSDT,BUY,0.00100000,77470.50,0.00000000,0.03098820,USDT,
529713436,2026-08-21T15:06:21Z,BTCUSDT,BUY,0.00050000,77474.00,0.00000000,0.01549480,USDT,
529713437,2026-08-21T15:06:21Z,BTCUSDT,BUY,0.00280000,77480.10,0.00000000,0.08677771,USDT,
529713449,2026-08-21T15:06:23Z,BTCUSDT,BUY,0.00120000,77476.10,0.00000000,0.03718852,USDT,
529713450,2026-08-21T15:06:23Z,BTCUSDT,BUY,0.00320000,77480.80,0.00000000,0.09917542,USDT,
529713778,2026-08-21T15:07:04Z,BTCUSDT,BUY,0.01040000,77516.20,-1.06706000,0.32246739,USDT,
529714657,2026-08-21T15:09:19Z,BTCUSDT,SELL,0.00440000,77593.50,0.00000000,0.13656456,USDT,
529714666,2026-08-21T15:09:21Z,BTCUSDT,SELL,0.00200000,77593.50,0.00000000,0.06207480,USDT,
529714694,2026-08-21T15:09:24Z,BTCUSDT,SELL,0.00870000,77591.20,0.98178000,0.27001737,USDT,
529714702,2026-08-21T15:09:26Z,BTCUSDT,BUY,0.00640000,77595.80,-0.01472000,0.19864524,USDT,
529715875,2026-08-21T15:12:06Z,BTCUSDT,BUY,0.00430000,77676.30,0.00000000,0.13360323,USDT,
529715888,2026-08-21T15:12:08Z,BTCUSDT,BUY,0.00070000,77674.40,0.00000000,0.02174883,USDT,
529715889,2026-08-21T15:12:08Z,BTCUSDT,BUY,0.00360000,77676.40,0.00000000,0.11185401,USDT,
529715924,2026-08-21T15:12:19Z,BTCUSDT,SELL,0.00720000,77670.20,0.00000000,0.22369017,USDT,
529715929,2026-08-21T15:12:21Z,BTCUSDT,SELL,0.00320000,77670.20,0.00000000,0.09941785,USDT,
529716369,2026-08-21T15:14:19Z,BTCUSDT,BUY,0.00640000,77657.60,0.08063999,0.19880345,USDT,
529716698,2026-08-21T15:15:22Z,BTCUSDT,BUY,0.00400000,77683.00,-0.05120000,0.12429280,USDT,
529716985,2026-08-21T15:16:45Z,BTCUSDT,SELL,0.00860000,77676.80,0.00527000,0.26720819,USDT,
529717471,2026-08-21T15:17:54Z,BTCUSDT,SELL,0.00440000,77566.60,0.00000000,0.13651721,USDT,
529717477,2026-08-21T15:17:56Z,BTCUSDT,SELL,0.00200000,77566.60,0.00000000,0.06205328,USDT,
529717684,2026-08-21T15:18:22Z,BTCUSDT,BUY,0.00640000,77534.20,0.20736000,0.19848755,USDT,
529717822,2026-08-21T15:19:01Z,BTCUSDT,SELL,0.00440000,77534.00,0.00000000,0.13645984,USDT,
529717830,2026-08-21T15:19:04Z,BTCUSDT,SELL,0.00200000,77534.00,0.00000000,0.06202720,USDT,
529718205,2026-08-21T15:19:57Z,BTCUSDT,BUY,0.00640000,77640.70,-0.68288000,0.19876019,USDT,
529719043,2026-08-21T15:22:37Z,BTCUSDT,SELL,0.00440000,77561.10,0.00000000,0.13650753,USDT,
529719050,2026-08-21T15:22:40Z,BTCUSDT,SELL,0.00200000,77561.10,0.00000000,0.06204888,USDT,
529719421,2026-08-21T15:24:27Z,BTCUSDT,BUY,0.00860000,77582.30,0.00000000,0.26688311,USDT,
529719434,2026-08-21T15:24:30Z,BTCUSDT,BUY,0.00880000,77582.30,0.00000000,0.27308969,USDT,
529719712,2026-08-21T15:25:42Z,BTCUSDT,BUY,0.00640000,77640.70,-0.50943999,0.19876019,USDT,
529720250,2026-08-21T15:27:48Z,BTCUSDT,SELL,0.00100000,77658.90,0.07659999,0.03106356,USDT,
529720251,2026-08-21T15:27:48Z,BTCUSDT,SELL,0.01640000,77640.70,0.95775999,0.50932299,USDT,
529720384,2026-08-21T15:28:22Z,BTCUSDT,SELL,0.00120000,77685.80,0.00000000,0.03728918,USDT,
529720385,2026-08-21T15:28:22Z,BTCUSDT,SELL,0.00320000,77682.50,0.00000000,0.09943360,USDT,
529720392,2026-08-21T15:28:24Z,BTCUSDT,SELL,0.00120000,77685.00,0.00000000,0.03728879,USDT,
529720393,2026-08-21T15:28:24Z,BTCUSDT,SELL,0.00080000,77682.50,0.00000000,0.02485840,USDT,
529721422,2026-08-21T15:31:57Z,BTCUSDT,BUY,0.00100000,77679.10,0.00448749,0.03107164,USDT,
529721423,2026-08-21T15:31:57Z,BTCUSDT,BUY,0.00120000,77680.70,0.00346499,0.03728673,USDT,
529721424,2026-08-21T15:31:57Z,BTCUSDT,BUY,0.00420000,77686.40,-0.01181250,0.13051315,USDT,
529721443,2026-08-21T15:32:05Z,BTCUSDT,BUY,0.02100000,77663.60,0.00000000,0.65237424,USDT,
