ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,delay_s,price
2026-08-16T21:28:45Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.28,0.0,2445.5,3746.98,True,False,0.0,1.988,0.02416
2026-08-16T21:28:48Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,41.72,-6.94,2399.76,1095.93,True,False,-0.0348,1.127,0.001438
2026-08-16T21:28:51Z,EDELUSDT,COOLING,SELL,0.0,0.0,0.0,78.95,0.0,849.63,843.22,True,False,0.0,1.927,0.00758
2026-08-16T21:29:22Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,114.06,0.0,1018.3,216.47,True,False,0.0,0.989,0.005194
2026-08-16T21:29:24Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,5.24,0.0,1276.23,1281.16,True,False,0.0,0.96,0.09534
2026-08-16T21:29:26Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.27,0.0,3791.66,3834.62,True,False,0.0,1.012,0.02416
2026-08-16T21:29:28Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,41.72,0.0,2399.76,1096.95,True,False,0.0,0.943,0.001438
2026-08-16T21:29:30Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,105.12,-26.11,849.63,843.22,True,False,-0.1312,1.029,0.00764
2026-08-16T21:30:26Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,5.24,0.0,1276.23,1669.05,True,False,0.0,0.978,0.09535
2026-08-16T21:30:29Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.28,0.0,1961.06,3746.98,True,False,0.0,1.984,0.02415
2026-08-16T21:30:32Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.66,0.0,2399.76,1096.95,True,False,0.0,0.972,0.001438
2026-08-16T21:30:33Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,65.75,0.0,802.52,893.77,True,False,0.0,0.952,0.00758
2026-08-16T21:31:03Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.34,0.0,1277.03,1300.32,True,False,0.0,0.958,0.09541
2026-08-16T21:31:06Z,BIOUSDT,COOLING,SELL,7.19,0.0,7.19,8.26,-0.0,3917.15,3066.25,True,False,0.0413,2.005,0.02417
2026-08-16T21:31:08Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,41.72,0.0,2399.76,1096.95,True,False,0.0,0.976,0.001439
2026-08-16T21:31:11Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,92.17,0.0,802.43,893.77,True,False,0.0,0.995,0.00755
2026-08-16T21:31:41Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,6.29,0.0,1277.09,1345.69,True,False,0.0,0.979,0.09542
2026-08-16T21:31:43Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.26,0.0,3292.28,3450.4,True,False,0.0,1.025,0.02422
2026-08-16T21:31:48Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.66,6.94,2399.76,1096.95,True,False,0.0348,1.134,0.001439
2026-08-16T21:31:51Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,65.75,-13.1,802.5,893.77,True,False,-0.0657,2.477,0.00755
2026-08-16T21:32:47Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,6.29,0.0,1277.09,1300.32,True,False,0.0,0.97,0.09539
2026-08-16T21:32:50Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.26,0.0,3292.28,4477.55,True,False,0.0,0.984,0.02429
2026-08-16T21:32:52Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.7,0.0,4022.13,638.01,True,False,0.0,0.961,0.00144
2026-08-16T21:32:54Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,65.75,0.0,849.63,843.22,True,False,0.0,0.998,0.00757
2026-08-16T21:33:26Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,6.29,0.0,1277.09,1300.32,True,False,0.0,1.004,0.0954
2026-08-16T21:33:28Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.25,0.0,2342.53,2176.27,True,False,0.0,0.935,0.02424
2026-08-16T21:33:29Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,55.63,0.0,2399.76,699.21,True,False,0.0,0.96,0.00144
2026-08-16T21:33:32Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,52.63,0.0,781.88,843.22,True,False,0.0,0.99,0.00757
2026-08-16T21:34:04Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,8.39,0.0,1277.09,1300.32,True,False,0.0,0.94,0.09535
2026-08-16T21:34:05Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.25,0.0,2283.46,3525.02,True,False,0.0,1.034,0.02425
2026-08-16T21:34:07Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,55.63,0.0,2399.76,699.21,True,False,0.0,0.956,0.001438
2026-08-16T21:34:09Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,52.49,0.0,849.49,843.22,True,False,0.0,0.92,0.0076
2026-08-16T21:35:09Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,8.39,0.0,1277.09,1286.98,True,False,0.0,2.071,0.0954
2026-08-16T21:35:11Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.25,0.0,2199.81,2176.27,True,False,0.0,0.999,0.02425
2026-08-16T21:35:12Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.63,0.0,2403.38,647.39,True,False,0.0,0.941,0.001438
2026-08-16T21:35:15Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,39.09,0.0,989.55,843.22,True,False,0.0,1.016,0.00769
2026-08-16T21:35:48Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,5.24,0.0,1555.42,1336.89,True,False,0.0,1.001,0.09545
2026-08-16T21:35:51Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.25,0.0,2199.81,2176.27,True,False,0.0,2.009,0.02425
2026-08-16T21:35:53Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.63,0.0,2485.87,1110.86,True,False,0.0,0.939,0.001439
2026-08-16T21:35:55Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,39.14,0.0,989.55,843.22,True,False,0.0,0.953,0.00766
2026-08-16T21:36:26Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,5.24,0.0,1759.08,1336.89,True,False,0.0,1.002,0.09544
2026-08-16T21:36:27Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,12.37,0.0,2289.8,2716.01,True,False,0.0,1.039,0.02425
2026-08-16T21:36:30Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.63,0.0,2399.76,1110.86,True,False,0.0,0.999,0.00144
2026-08-16T21:36:32Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,52.15,0.0,989.56,843.22,True,False,0.0,0.997,0.00768
2026-08-16T21:37:28Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.33,0.0,1624.83,1305.19,True,False,0.0,1.001,0.09545
2026-08-16T21:37:32Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.25,0.0,2289.8,3255.67,True,False,0.0,1.095,0.02425
2026-08-16T21:37:35Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.63,0.0,2399.76,638.01,True,False,0.0,0.941,0.001441
2026-08-16T21:37:37Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,39.14,0.0,989.56,843.22,True,False,0.0,0.989,0.00766
2026-08-16T21:38:08Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,8.38,0.0,1277.18,1557.46,True,False,0.0,1.037,0.09546
2026-08-16T21:38:10Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,12.38,-4.13,1446.28,4062.74,True,False,0.0206,0.974,0.02422
2026-08-16T21:38:13Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.63,0.0,2486.15,638.01,True,False,0.0,1.046,0.001441
2026-08-16T21:38:15Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,26.08,0.0,989.56,843.22,True,False,0.0,0.993,0.00766
2026-08-16T21:38:48Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,8.38,0.0,1277.26,2157.77,True,False,0.0,0.988,0.09542
2026-08-16T21:38:51Z,BIOUSDT,COOLING,BUY,0.0,8.28,8.28,12.4,0.02,1543.52,4062.74,True,False,-0.1651,2.057,0.02422
2026-08-16T21:38:53Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.63,0.0,2486.15,638.01,True,False,0.0,0.997,0.001441
2026-08-16T21:38:56Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,26.08,0.0,989.56,843.22,True,False,0.0,2.057,0.00768
2026-08-16T21:39:54Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,8.39,0.0,1675.09,1858.08,True,False,0.0,0.998,0.09535
2026-08-16T21:39:58Z,BIOUSDT,COOLING,BUY,9.48,14.36,14.36,12.44,0.0,2145.81,3273.31,True,False,0.0,1.016,0.0242
2026-08-16T21:40:02Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.63,0.0,2399.76,638.01,True,False,0.0,1.003,0.001441
