ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,delay_s,price
2026-08-16T21:16:31Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1009.59,503.84,True,False,1.025,0.005157
2026-08-16T21:16:33Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,6.3,0.0,1876.8,1698.45,True,False,1.005,0.09526
2026-08-16T21:16:36Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.13,0.0,2963.37,3316.05,True,False,1.159,0.02419
2026-08-16T21:16:39Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,34.52,0.0,2655.57,739.98,True,False,1.951,0.001448
2026-08-16T21:16:42Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,39.45,0.0,850.21,893.77,True,False,0.972,0.00757
2026-08-16T21:18:42Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1004.39,503.84,True,False,0.925,0.005157
2026-08-16T21:18:44Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.34,0.0,1276.25,1281.12,True,False,1.014,0.09534
2026-08-16T21:18:45Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.13,0.0,2833.2,3926.92,True,False,1.039,0.02424
2026-08-16T21:18:49Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,34.52,0.0,2643.25,765.86,True,False,1.026,0.001448
2026-08-16T21:18:52Z,EDELUSDT,COOLING,NONE,-3.73,0.0,0.0,26.25,0.0,756.01,877.23,True,False,1.121,0.00763
